Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
QCL,Crops and livestock products,120,Cameroon,5419,Yield,1343,Apricots,1985,1985,hg/ha,45455,E,Estimated value
QCL,Crops and livestock products,120,Cameroon,5419,Yield,1343,Apricots,1986,1986,hg/ha,45455,E,Estimated value
QCL,Crops and livestock products,120,Cameroon,5419,Yield,1343,Apricots,1987,1987,hg/ha,45455,E,Estimated value
QCL,Crops and livestock products,120,Cameroon,5419,Yield,1343,Apricots,1988,1988,hg/ha,45455,E,Estimated value
QCL,Crops and livestock products,120,Cameroon,5419,Yield,1343,Apricots,1989,1989,hg/ha,45455,E,Estimated value
QCL,Crops and livestock products,120,Cameroon,5419,Yield,1343,Apricots,1990,1990,hg/ha,39778,I,Imputed value
QCL,Crops and livestock products,120,Cameroon,5419,Yield,1343,Apricots,1991,1991,hg/ha,44857,E,Estimated value
QCL,Crops and livestock products,120,Cameroon,5419,Yield,1343,Apricots,1992,1992,hg/ha,44557,E,Estimated value
QCL,Crops and livestock products,120,Cameroon,5419,Yield,1343,Apricots,1993,1993,hg/ha,44565,E,Estimated value
QCL,Crops and livestock products,120,Cameroon,5419,Yield,1343,Apricots,1994,1994,hg/ha,44651,E,Estimated value
QCL,Crops and livestock products,120,Cameroon,5419,Yield,1343,Apricots,1995,1995,hg/ha,44812,E,Estimated value
QCL,Crops and livestock products,120,Cameroon,5419,Yield,1343,Apricots,1996,1996,hg/ha,45263,E,Estimated value
QCL,Crops and livestock products,120,Cameroon,5419,Yield,1343,Apricots,1997,1997,hg/ha,45091,E,Estimated value
QCL,Crops and livestock products,120,Cameroon,5419,Yield,1343,Apricots,1998,1998,hg/ha,45361,E,Estimated value
QCL,Crops and livestock products,120,Cameroon,5419,Yield,1343,Apricots,1999,1999,hg/ha,45249,E,Estimated value
QCL,Crops and livestock products,120,Cameroon,5419,Yield,1343,Apricots,2000,2000,hg/ha,45000,E,Estimated value
QCL,Crops and livestock products,120,Cameroon,5419,Yield,1343,Apricots,2001,2001,hg/ha,45351,E,Estimated value
QCL,Crops and livestock products,120,Cameroon,5419,Yield,1343,Apricots,2002,2002,hg/ha,44660,E,Estimated value
QCL,Crops and livestock products,120,Cameroon,5419,Yield,1343,Apricots,2003,2003,hg/ha,45498,E,Estimated value
QCL,Crops and livestock products,120,Cameroon,5419,Yield,1343,Apricots,2004,2004,hg/ha,44762,E,Estimated value
QCL,Crops and livestock products,120,Cameroon,5419,Yield,1343,Apricots,2005,2005,hg/ha,45786,E,Estimated value
QCL,Crops and livestock products,120,Cameroon,5419,Yield,1343,Apricots,2006,2006,hg/ha,45915,E,Estimated value
QCL,Crops and livestock products,120,Cameroon,5419,Yield,1343,Apricots,2007,2007,hg/ha,46056,E,Estimated value
QCL,Crops and livestock products,120,Cameroon,5419,Yield,1343,Apricots,2008,2008,hg/ha,46401,E,Estimated value
QCL,Crops and livestock products,120,Cameroon,5419,Yield,1343,Apricots,2009,2009,hg/ha,46876,E,Estimated value
QCL,Crops and livestock products,120,Cameroon,5419,Yield,1343,Apricots,2010,2010,hg/ha,45333,E,Estimated value
QCL,Crops and livestock products,120,Cameroon,5419,Yield,1343,Apricots,2011,2011,hg/ha,48959,E,Estimated value
QCL,Crops and livestock products,120,Cameroon,5419,Yield,1343,Apricots,2012,2012,hg/ha,56667,E,Estimated value
